date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:40	2288/2288	---MC-	200	added ('OK')	text/xml	date:Sun,%2010%20Mar%202024%2020:23:33%20GMT	https://freshmart-plc.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffreshmart-plc.co.uk%2Fabout-freshmart-plc%2F&format=xml	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/wp-json/oembed/1.0/embedab37	(from https://freshmart-plc.co.uk/about-freshmart-plc/)
15:23:40	1683/1683	---MC-	200	added ('OK')	application/json	date:Sun,%2010%20Mar%202024%2020:23:33%20GMT	https://freshmart-plc.co.uk/wp-json/wp/v2/pages/78	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/wp-json/wp/v2/pages/78.json	(from https://freshmart-plc.co.uk/executive-director/)
15:23:40	2123/2123	---MC-	200	added ('OK')	application/json	date:Sun,%2010%20Mar%202024%2020:23:33%20GMT	https://freshmart-plc.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffreshmart-plc.co.uk%2Fexecutive-director%2F	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/wp-json/oembed/1.0/embed88dc.json	(from https://freshmart-plc.co.uk/executive-director/)
15:23:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2010%20Mar%202024%2020:23:34%20GMT	https://freshmart-plc.co.uk/?p=78	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/index7896.html	(from https://freshmart-plc.co.uk/executive-director/)
15:23:41	2283/2283	---MC-	200	added ('OK')	text/xml	date:Sun,%2010%20Mar%202024%2020:23:34%20GMT	https://freshmart-plc.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffreshmart-plc.co.uk%2Fexecutive-director%2F&format=xml	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/wp-json/oembed/1.0/embedfa5e	(from https://freshmart-plc.co.uk/executive-director/)
15:23:41	14105/14105	---M-Z	200	added ('OK')	text/css	etag:%223719-605de70b43200-gzip%22	https://freshmart-plc.co.uk/wp-includes/blocks/gallery/style.min.css?ver=6.4.3	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/wp-includes/blocks/gallery/style.min84fc.css	(from https://freshmart-plc.co.uk/meet-our-team/)
15:23:42	5171/5171	---MC-	200	added ('OK')	application/json	date:Sun,%2010%20Mar%202024%2020:23:34%20GMT	https://freshmart-plc.co.uk/wp-json/wp/v2/pages/49	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/wp-json/wp/v2/pages/49.json	(from https://freshmart-plc.co.uk/meet-our-team/)
15:23:42	2098/2098	---MC-	200	added ('OK')	application/json	date:Sun,%2010%20Mar%202024%2020:23:35%20GMT	https://freshmart-plc.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffreshmart-plc.co.uk%2Fmeet-our-team%2F	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/wp-json/oembed/1.0/embedd4a7.json	(from https://freshmart-plc.co.uk/meet-our-team/)
15:23:42	2258/2258	---MC-	200	added ('OK')	text/xml	date:Sun,%2010%20Mar%202024%2020:23:35%20GMT	https://freshmart-plc.co.uk/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffreshmart-plc.co.uk%2Fmeet-our-team%2F&format=xml	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/wp-json/oembed/1.0/embed3733	(from https://freshmart-plc.co.uk/meet-our-team/)
15:23:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2010%20Mar%202024%2020:23:35%20GMT	https://freshmart-plc.co.uk/?p=49	C:/My%20Web%20Sites/https___freshmart-plc.co.uk_/freshmart-plc.co.uk/index0012.html	(from https://freshmart-plc.co.uk/meet-our-team/)
